page_url,title,title_length,description,description_length,og_image,og_type,og_title,og_description,og_url,canonical,issue_count,issues_summary
https://breastcalculator.com/about.html,About Us — Free Bra Size Calculator & Bra Fitting Tools | Breast Calculator,75,"Learn about Breast Calculator, the trusted a bra that fits calculator. Free bra size calculator with US, UK, EU, FR & AU sizing. Science-based bra fitting tools and breast health education for accurate results.",210,,website,About Breast Calculator — Free Bra Size Calculator & Bra Fitting Tools,"Our mission to provide free, accurate bra size calculation and breast health education. Trusted bra calculator and fitting guides.",https://breastcalculator.com/about.html,https://breastcalculator.com/about.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/articles.html,Bra Fitting Guides & Articles | Bra Size Calculator Tips | Breast Calculator,76,"Expert-reviewed bra fitting guides and breast health articles. Learn how to measure bra size, check bra fit, understand sister sizes, and find your a bra that fits. Free bra size calculator tips and advice.",206,,website,Bra Fitting Guides & Articles | Breast Calculator,"Learn how to measure bra size, check bra fit, understand sister sizes, and more. Free bra calculator fitting guides.",https://breastcalculator.com/articles.html,https://breastcalculator.com/articles.html,4,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE; OG_TITLE_MISMATCH
https://breastcalculator.com/,Free Bra Size Calculator | a Bra That Fits Calculator | Breast Calculator,73,"Free breast calculator trusted by thousands. The most accurate bra size calculator online with US, UK, EU, FR & AU sizing. A bra that fits calculator — measure in inches, cm or mm. 98.7% accuracy, no registration needed.",220,,website,Free Bra Size Calculator | a Bra That Fits | Breast Calculator,"Free bra size calculator with US, UK, EU, FR & AU sizing. The a bra that fits calculator for accurate measurements in inches/cm/mm. Science-based fitting tool.",https://breastcalculator.com/,https://breastcalculator.com/,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/privacy.html,Privacy Policy — Bra Size Calculator & Bra Fitting Tools | Breast Calculator,76,"Privacy Policy for Breast Calculator, the free a bra that fits calculator. Learn how we protect your privacy when using our accurate bra size calculator and bra fitting tools.",175,,website,Privacy Policy | Breast Calculator,Privacy Policy for Breast Calculator. Learn how we protect your privacy and handle your data when you use our free breast health measurement tools.,https://breastcalculator.com/privacy.html,https://breastcalculator.com/privacy.html,4,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE; OG_TITLE_MISMATCH
https://breastcalculator.com/specials.html,Specials & Research | Bra Fitting Science & Breast Health | Breast Calculator,77,"Science-backed resources on breast health, D+ cup support, sports bra biomechanics, and evidence-based bra fitting guides. Free bra size calculator research and special topics.",176,,website,Specials & Research | Bra Fitting Science | Breast Calculator,"Evidence-based breast health resources, sports bra biomechanics, and special topic guides. Free bra calculator research.",https://breastcalculator.com/specials.html,https://breastcalculator.com/specials.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/terms.html,Terms of Use — Bra Size Calculator & Bra Fitting Tools | Breast Calculator,74,"Terms of Use for Breast Calculator, the free a bra that fits calculator. Read terms governing your use of our accurate bra size calculator, bra fitting tools and breast health resources.",186,,website,Terms of Use | Breast Calculator,Terms of Use for Breast Calculator. Read the terms governing your use of our free breast health measurement tools.,https://breastcalculator.com/terms.html,https://breastcalculator.com/terms.html,4,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE; OG_TITLE_MISMATCH
https://breastcalculator.com/wellness.html,Wellness & Recovery | Post-Surgical Breast Care & Support | Breast Calculator,77,"A supportive guide to post-surgical breast wellness, prosthetic bras, and recovery resources. Empowering information for your breast health journey. Free bra calculator wellness resources.",188,,website,Wellness & Recovery — Post-Surgical Breast Care Resources,"Gentle, empowering resources for post-surgical breast wellness, prosthetic bra guides, and recovery support. Breast calculator wellness resources.",https://breastcalculator.com/wellness.html,https://breastcalculator.com/wellness.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/article/bra-sister-sizes-explained.html,Bra Sister Sizes Explained — How to Find Your Alternative Bra Fit | Breast Calculator,85,"Learn how bra sister sizes work and how to find your alternative bra fit. Complete guide to sister sizing with charts, examples, and tips for using sister sizes when shopping. Reviewed by our editorial team.",207,,article,Bra Sister Sizes Explained — How to Find Your Alternative Bra Fit,"Learn how bra sister sizes work and how to find your alternative bra fit. Complete guide to sister sizing with charts, examples, and tips for using sister sizes when shopping.",https://breastcalculator.com/article/bra-sister-sizes-explained.html,https://breastcalculator.com/article/bra-sister-sizes-explained.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,Breast Ptosis Causes and Solutions — Understanding Breast Sagging | Breast Calculator,85,"Learn about breast ptosis causes including aging, pregnancy, and weight changes. Discover prevention strategies, management options, and how proper bra fitting can help. Expert-reviewed guide.",192,,article,Breast Ptosis Causes and Solutions — Understanding Breast Sagging,"Learn about breast ptosis causes including aging, pregnancy, and weight changes. Discover prevention strategies, management options, and how proper bra fitting can help. Expert-reviewed guide.",https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/article/breast-volume-guide.html,Breast Volume Guide — How to Estimate and Understand Your Breast Volume | Breast Calculator,91,"Learn how to estimate your breast volume in cubic centimeters (cc). Understand what breast volume means for bra fitting, breast symmetry, and post-surgery planning. Free estimation tool included.",195,,article,Breast Volume Guide — How to Estimate and Understand Your Breast Volume,"Learn how to estimate your breast volume in cubic centimeters (cc). Understand what breast volume means for bra fitting, breast symmetry, and post-surgery planning. Free estimation tool included.",https://breastcalculator.com/article/breast-volume-guide.html,https://breastcalculator.com/article/breast-volume-guide.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,How to Measure Bra Size at Home — Complete Step-by-Step Guide | Breast Calculator,81,"Learn how to measure your bra size at home with our complete step-by-step guide. Includes band measurement, bust measurement, cup size calculation, and sister size explanations. Expert-approved.",194,,article,How to Measure Bra Size at Home — Complete Step-by-Step Guide,"Learn how to measure your bra size at home with our complete step-by-step guide. Includes band measurement, bust measurement, cup size calculation, and sister size explanations. Expert-approved.",https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,How to Tell If Your Bra Fits Correctly — 5 Signs to Check | Breast Calculator,77,"Learn how to tell if your bra fits correctly with our 5-point expert checklist. From band position to cup coverage, discover the signs of a properly fitting bra. Reviewed by our editorial team.",193,,article,How to Tell If Your Bra Fits Correctly — 5 Signs to Check,"Learn how to tell if your bra fits correctly with our 5-point expert checklist. From band position to cup coverage, discover the signs of a properly fitting bra.",https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,3,TITLE_TOO_LONG; DESCRIPTION_TOO_LONG; MISSING_OG_IMAGE
