page_url,type,severity,detail,suggestion
https://breastcalculator.com/about.html,TITLE_TOO_LONG,MEDIUM,Title is 75 chars (max 60),About Us — Free Bra Size Calculator & Bra Fitting Tools...
https://breastcalculator.com/about.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 210 chars (max 160),"Learn about Breast Calculator, the trusted a bra that fits calculator. Free bra size calculator with US, UK, EU, FR & AU sizing. Science-based bra fitting tools and breast health education for accurate results."
https://breastcalculator.com/about.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/articles.html,TITLE_TOO_LONG,MEDIUM,Title is 76 chars (max 60),Bra Fitting Guides & Articles | Bra Size Calculator Tips...
https://breastcalculator.com/articles.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 206 chars (max 160),"Expert-reviewed bra fitting guides and breast health articles. Learn how to measure bra size, check bra fit, understand sister sizes, and find your a bra that fits. Free bra size calculator tips and advice."
https://breastcalculator.com/articles.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/articles.html,OG_TITLE_MISMATCH,LOW,og:title (49 chars) differs significantly from <title> (76 chars),title: Bra Fitting Guides & Articles | Bra Size Calculator Tips | Breast Calculator | og:title: Bra Fitting Guides & Articles | Breast Calculator
https://breastcalculator.com/,TITLE_TOO_LONG,MEDIUM,Title is 73 chars (max 60),Free Bra Size Calculator | a Bra That Fits Calculator |...
https://breastcalculator.com/,DESCRIPTION_TOO_LONG,MEDIUM,Description is 220 chars (max 160),"Free breast calculator trusted by thousands. The most accurate bra size calculator online with US, UK, EU, FR & AU sizing. A bra that fits calculator — measure in inches, cm or mm. 98.7% accuracy, no registration needed."
https://breastcalculator.com/,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/privacy.html,TITLE_TOO_LONG,MEDIUM,Title is 76 chars (max 60),Privacy Policy — Bra Size Calculator & Bra Fitting Tools...
https://breastcalculator.com/privacy.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 175 chars (max 160),"Privacy Policy for Breast Calculator, the free a bra that fits calculator. Learn how we protect your privacy when using our accurate bra size calculator and bra fitting tools."
https://breastcalculator.com/privacy.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/privacy.html,OG_TITLE_MISMATCH,LOW,og:title (34 chars) differs significantly from <title> (76 chars),title: Privacy Policy — Bra Size Calculator & Bra Fitting Tools | Breast Calculator | og:title: Privacy Policy | Breast Calculator
https://breastcalculator.com/specials.html,TITLE_TOO_LONG,MEDIUM,Title is 77 chars (max 60),Specials & Research | Bra Fitting Science & Breast...
https://breastcalculator.com/specials.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 176 chars (max 160),"Science-backed resources on breast health, D+ cup support, sports bra biomechanics, and evidence-based bra fitting guides. Free bra size calculator research and special topics."
https://breastcalculator.com/specials.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/terms.html,TITLE_TOO_LONG,MEDIUM,Title is 74 chars (max 60),Terms of Use — Bra Size Calculator & Bra Fitting Tools |...
https://breastcalculator.com/terms.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 186 chars (max 160),"Terms of Use for Breast Calculator, the free a bra that fits calculator. Read terms governing your use of our accurate bra size calculator, bra fitting tools and breast health resources."
https://breastcalculator.com/terms.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/terms.html,OG_TITLE_MISMATCH,LOW,og:title (32 chars) differs significantly from <title> (74 chars),title: Terms of Use — Bra Size Calculator & Bra Fitting Tools | Breast Calculator | og:title: Terms of Use | Breast Calculator
https://breastcalculator.com/wellness.html,TITLE_TOO_LONG,MEDIUM,Title is 77 chars (max 60),Wellness & Recovery | Post-Surgical Breast Care &...
https://breastcalculator.com/wellness.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 188 chars (max 160),"A supportive guide to post-surgical breast wellness, prosthetic bras, and recovery resources. Empowering information for your breast health journey. Free bra calculator wellness resources."
https://breastcalculator.com/wellness.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/bra-sister-sizes-explained.html,TITLE_TOO_LONG,MEDIUM,Title is 85 chars (max 60),Bra Sister Sizes Explained — How to Find Your...
https://breastcalculator.com/article/bra-sister-sizes-explained.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 207 chars (max 160),"Learn how bra sister sizes work and how to find your alternative bra fit. Complete guide to sister sizing with charts, examples, and tips for using sister sizes when shopping. Reviewed by our editorial team."
https://breastcalculator.com/article/bra-sister-sizes-explained.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,TITLE_TOO_LONG,MEDIUM,Title is 85 chars (max 60),Breast Ptosis Causes and Solutions — Understanding...
https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 192 chars (max 160),"Learn about breast ptosis causes including aging, pregnancy, and weight changes. Discover prevention strategies, management options, and how proper bra fitting can help. Expert-reviewed guide."
https://breastcalculator.com/article/breast-ptosis-causes-and-solutions.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/breast-volume-guide.html,TITLE_TOO_LONG,MEDIUM,Title is 91 chars (max 60),Breast Volume Guide — How to Estimate and Understand...
https://breastcalculator.com/article/breast-volume-guide.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 195 chars (max 160),"Learn how to estimate your breast volume in cubic centimeters (cc). Understand what breast volume means for bra fitting, breast symmetry, and post-surgery planning. Free estimation tool included."
https://breastcalculator.com/article/breast-volume-guide.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,TITLE_TOO_LONG,MEDIUM,Title is 81 chars (max 60),How to Measure Bra Size at Home — Complete Step-by-Step...
https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 194 chars (max 160),"Learn how to measure your bra size at home with our complete step-by-step guide. Includes band measurement, bust measurement, cup size calculation, and sister size explanations. Expert-approved."
https://breastcalculator.com/article/how-to-measure-bra-size-at-home.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,TITLE_TOO_LONG,MEDIUM,Title is 77 chars (max 60),How to Tell If Your Bra Fits Correctly — 5 Signs to...
https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 193 chars (max 160),"Learn how to tell if your bra fits correctly with our 5-point expert checklist. From band position to cup coverage, discover the signs of a properly fitting bra. Reviewed by our editorial team."
https://breastcalculator.com/article/how-to-tell-if-bra-fits.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/post-mastectomy-breast-care.html,TITLE_TOO_LONG,MEDIUM,Title is 77 chars (max 60),"Post-Mastectomy Care Guide — Recovery, Scar Care and..."
https://breastcalculator.com/article/post-mastectomy-breast-care.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 176 chars (max 160),"A comprehensive guide to post-mastectomy care including recovery timeline, scar management, post-surgical bras, exercises, and emotional well-being after breast cancer surgery."
https://breastcalculator.com/article/post-mastectomy-breast-care.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/article/prosthetic-bras-guide-after-mastectomy.html,TITLE_TOO_LONG,MEDIUM,Title is 76 chars (max 60),Prosthetic Bras Guide — Finding Comfort After Mastectomy...
https://breastcalculator.com/article/prosthetic-bras-guide-after-mastectomy.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 176 chars (max 160),"A comprehensive guide to prosthetic bras, post-mastectomy bras, and breast forms. Learn how to choose the right option for your recovery and daily comfort after breast surgery."
https://breastcalculator.com/article/prosthetic-bras-guide-after-mastectomy.html,MISSING_OG_IMAGE,HIGH,Missing og:image,"<meta property=""og:image"" content=""https://breastcalculator.com/og-image.jpg""> (create a 1200x630px image)"
https://breastcalculator.com/specials/accessory-breast-guide.html,TITLE_TOO_LONG,MEDIUM,Title is 84 chars (max 60),"Accessory Breast Guide — Causes, Symptoms, Diagnosis &..."
https://breastcalculator.com/specials/accessory-breast-guide.html,DESCRIPTION_TOO_LONG,MEDIUM,Description is 203 chars (max 160),"Learn about accessory breast tissue — causes, symptoms, diagnosis, and treatment options. Evidence-based guide covering axillary breast tissue, its prevalence, and management strategies. Expert-reviewed."
